"chapter","verse","sanskrit","transliteration","translation_danish","translation_english","footnotes_translation_danish","footnotes_transliteration","footnotes_sanskrit"
"1","11","हठविद्या परं गोप्या योगिनां सिद्धिमिच्छता ।
भवेद्वीर्यवती गुप्ता निर्वीर्या तु प्रकाशिता ॥११॥","haṭhavidyā paraṃ gopyā yoginām[^4] siddhim icchatā |
bhaved vīryavatī guptā nirvīryā tu prakāśitā || 1.11 ||","[1.11] Visdommen om haṭhayoga bør holdes yderst hemmelig af den yogi,
der begærer fuldkomne siddhier. Holdes haṭhayoga hemmelig, er den
kraftfuld - i modsat fald er den uden kraft.","[1.11] A Yogī desirous of success should keep the knowledge of Haṭha Yoga secret; for it becomes potent by concealing, and impotent by exposing.",NA,"[^4]: Her holder vi os til GRETIL og oversætter med yoginā (instrumentalis) i stedet for yoginām (genitiv), idet yoginā korresponderer med icchatā (instrumentalis).",NA
"1","12","सुराज्ये धार्मिके देशे सुभिक्षे निरुपद्रवे ।
धनुः प्रमाणपर्यन्तं शिलाग्निजलवर्जिते ।
एकान्ते मठिकामध्ये स्थातव्यं हठयोगिना ॥१२॥","surājye dhārmike deśe subhikṣe nirupadrave |
dhanuḥ pramāṇaparyantaṃ śilāgnijalavarjite |
ekānte maṭhikāmadhye sthātavyaṃ haṭhayoginā || 1.12","[1.12] Haṭhayogien bør opholde sig i et velregeret, retfærdigt, rigt
og fredeligt land på et øde sted i en lille hytte, der måler en
dhanus,[^5] og som er fri for ild, vand og sten.","[1.12] The Yogī should practise Haṭha Yoga in a small room, situated in a solitary place, being 4 cubits square, and free from stones, fire, water, disturbances of all kinds, and in a country where justice is properly administered, where good people live, and food can be obtained easily and plentifully.","[^5]: Dhanus er et indisk mål, der svarer til fire hasta. En hasta svarer til afstanden fra albuen til spidsen af langefingeren, hvilket er en cubit (45.72 cm) eller ca. 18 engelske tommer (18 x 0.0245 meter = 0.441 meter). Idet en dhanus svarer til fire hasta (4 x 45.72 cm = 182.88 cm), kan hyttens areal formodes at måle ca. 1.8 x 1.8 meter.",NA,NA
"1","13","अल्पद्वारमरन्ध्रगर्तविवरं नात्युच्चनीचायतं
सम्यग्गोमयसान्द्रलिप्तममलं निःशेसजन्तूज्झितम् ।
बाह्ये मण्डपवेदिकूपरुचिरं प्राकारसंवेष्टितं
प्रोक्तं योगमठस्य लक्षणमिदं सिद्धैर्हठाभ्यासिभिः ॥१३॥","alpadvāram arandhragartavivaraṃ nātyuccanīcāyataṃ
samyaggomayasāndraliptam amalaṃ niḥśesajantūjjhitam |
bāhye maṇḍapavedikūparuciraṃ prākārasaṃveṣṭitaṃ
proktaṃ yogamaṭhasya lakṣaṇam idaṃ siddhair haṭhābhyāsibhiḥ || 1.13 ||","[1.13] Dette siges at være yogahyttens kendetegn ifølge de fuldendte
haṭhayogaudøvere: en lille dør, ingen åbninger, huller eller
fordybninger, ikke overdreven høj, lav eller lang, velsmurt med et tykt
lag komøg,[^6] ren og helt fri for insekter. Området udenfor afgrænses
af en mur og prydes af en åben hal, et ildalter og en brønd.","[1.13] The room should have a small door, be free from holes, hollows, neither too high nor too low, well plastered with cow-dung and free from dirt, filth and insects. On its outside there should be bowers, raised platform (chabootrā), a well, and a compound. These characteristics of a room for Haṭha Yogīs have been described by adepts in the practice of Haṭha.","[^6]: Komøg, der er tørret og brændt, er antiseptisk og blev ofte brugt som brændsel til at lave mad. Det blev ligeledes anset for at være ontologisk rent, idet koen er et helligt dyr i Indien.",NA,NA
"1","14","एवं विधे मठे स्थित्वा सर्वचिन्ताविवर्जितः ।
गुरूपदिष्टमार्गेण योगमेव समभ्यसेत् ॥१४॥","evaṃ vidhe maṭhe sthitvā sarvacintāvivarjitaḥ |
gurūpadiṣṭamārgeṇa yogam eva samabhyaset || 1.14 ||","[1.14] Idet yogien opholder sig i en sådan hytte, bør han praktisere
yoga uafhængigt af alle tanker som anvist af sin guru.[^7]","[1.14] Having seated in such a room and free from all anxieties, he should practise Yoga, as instructed by his guru.","[^7]: Guru, 'religiøs lærer, tung'. En yogi skal initieres af en guru og praktisere under kyndig vejledning.",NA,NA
"1","15","अत्याहारः प्रयासश्च प्रजल्पो नियमाग्रहः ।
जनसङ्गश्च लौल्यं च षड्भिर्योगो विनश्यति ॥१५॥","atyāhāraḥ prayāsaś ca prajalpo niyamāgrahaḥ |
janasaṅgaś ca laulyaṃ ca ṣaḍbhir yogo vinaśyati || 1.15 ||","[1.15] Yogapraksis ødelægges ved disse seks: overspisning,
overanstrengelse, snakkesalighed, pedanteri, social omgang og
rastløshed.","[1.15] Yoga is destroyed by the following six causes:—Over-eating, exertion, talkativeness, adhering to rules, i.e., cold bath in the morning, eating at night, or eating fruits only, company of men, and unsteadiness.",NA,NA,NA
"1","16","उत्साहात्साहसाद्धैर्यात्तत्त्वज्ञानाच्च​ निश्चयात् ।
जनसङ्गपरित्यागात्षड्भिर्योगः प्रसिद्ध्यति ॥१६॥","utsāhāt sāhasād dhairyāt tattvajñānāś ca niścayāt |
janasaṅgaparityāgāt ṣaḍbhir yogaḥ prasiddhyati || 1.16 ||[^8]","[1.16] Yogapraksis fuldendes ved disse seks: viljestyrke, vovemod,
tålmodighed, viden, beslutsomhed og forsagelse af social omgang.[^9]
Dette er āsanaer:","[1.16] The following six bring speedy success:—Courage, daring, perseverance, discriminative knowledge, faith, aloofness. from company.","[^9]: Se fodnote 7. Her følger oversættelser af de to ekstra vers (1.17 og 1.18) om påbudt adfærd (yama) og tilrådelig adfærd (niyama). Dette er yamaer og niyamaer: [1.17] Dette er de ti yamaer: ikke-vold (ahiṃsā), sandfærdighed (satya), ikke at stjæle (asteya), seksuel afholdenhed (brahmacarya), tålmodighed (kṣamā), standhaftighed (dhr̥ti), medfølelse (dayā), ærlighed (ārjava), mådeholden diæt (mitāhāra) og renlighed (śauca). [1.18] Ifølge de yogakyndige er de ti niyamaer: streng askese (tapas), tilfredshed (santoṣa), vedatro (āstikya), velgørenhed (dāna), tilbedelsen af en gud (īśvarapūjana), efterfølgelse af en doktrin (siddhānta), beskedenhed (hrīmatī), mantrarecitation (japa) og ildoffer (huta).","[^8]: I nogle versioner af Haṭhapradīpikā (f.eks. versionen i GRETIL) er der indføjet to ekstra vers (1.17 og 1.18) om påbudt adfærd (yama) og tilrådelig adfærd (niyama), hvilke i Lonāvlā-udgaven er henvist til noteapparatet som her: atha yamaniyamāḥ ahiṃsā satyam asteyaṃ brahmacaryaṃ kṣamā dhr̥tiḥ | dayārjavaṃ mitāhāraḥ śaucaṃ caiva yamā daśa || 1.17 || tapaḥ santoṣa āstikyaṃ dānam īśvarapūjanam | siddhāntavākyaśravaṇaṃ hrīmatī ca tapo [japo] hutam | niyamā daśa samproktā yogaśāstraviśāradaiḥ || 1.18 ||",NA
"1","17","अथ आसनम्
हठस्य प्रथमाङ्गत्वादासनं पूर्वमुच्यते ।
कुर्यात्तदासनं स्थैर्यमारोग्यं चाङ्गलाघवम् ॥१७॥","atha āsanam
haṭhasya prathamāṅgatvād āsanaṃ pūrvam ucyate |
kuryāt tad āsanaṃ sthairyam ārogyaṃ cāṅgalāghavam || 1.17 ||","[1.17] Første led i haṭhayoga er āsanaer,[^10] som derfor omtales
først. Āsanaer medfører stabilitet, sundhed og smidige lemmer.","[1.17] The ten rules of conduct are: ahiṃsā (non-injuring), truth, non-stealing, continence, forgiveness, endurance, compassion, meekness, sparing diet and cleanliness.","[^10]: Āsana, 'sæde, siddestilling, positur'.",NA,NA
"1","18","वसिष्ठाद्यैश्च मुनिभिर्मत्स्येन्द्राद्यैश्च योगिभिः ।
अङ्गीकृतान्यासनानि कथ्यन्ते कानिचिन्मया ॥१८॥","vasiṣṭhādyaiś ca munibhir matsyendrādyaiś ca yogibhiḥ |
aṅgīkr̥tāny āsanāni kathyante kānicin mayā || 1.18 ||","[1.18] Jeg vil nu forklare nogle āsanaer anerkendt af både munier[^11]
som Vasiṣṭha og yogier som Matsyendra.","[1.18] The ten niyamas mentioned by those proficient in the knowledge of yoga are: Tapa, patience, belief in God, charity, adoration of God, hearing discourses on the principles of religion, shame, intellect, Tapa and Yajña.","[^11]: Munier, 'vismænd'.",NA,NA
"1","19","जानूर्वोरन्तरे सम्यक्कृत्वा पादतले उभे ।
ऋजुकायः समासीनः स्वस्तिकं तत्प्रचक्षते ॥१९॥","jānūrvor antare samyak kr̥tvā pādatale ubhe ||
r̥jukāyaḥ samāsīnaḥ svastikaṃ tat pracakṣate || 1.19 ||","[1.19] Dette anses for Svastikāsana:[^12] At sidde med ret ryg efter
at have placeret begge fodsåler nøjagtigt på indersiden af knæ og lår.","[1.19] Being the first accessory of Haṭha Yoga, āsana is described first. It should be practised for gaining steady posture, health and lightness of body.","[^12]: Svastika-āsana, 'Den gunstige stilling'.",NA,NA
"1","20","सव्ये दक्षिणगुल्फं तु पृष्ठपार्श्वे नियोजयेत् ।
दक्षिणेऽपि तथा सव्यं गोमुखं गोमुखाकृति ॥२०॥","savye dakṣiṇagulphaṃ tu pr̥ṣṭhapārśve niyojayet |
dakṣiṇe'pi tathā savyaṃ gomukhaṃ gomukhākr̥ti || 1.20 ||","[1.20] Man placerer højre ankel på den venstre balles side; ligeledes
venstre på højre. Gomukhāsana[^13] ligner et kohoved.","[1.20] I am going to describe certain āsanas which have been adopted by Munīs like Vasiṣṭha, etc., and Yogīs like Matsyendra, etc.","[^13]: Gomukha-āsana, 'Kohovedstillingen'.",NA,NA
"1","21","एकं पादमथैकस्मिन्विन्यसेदुरुणि स्थिरम् ।
इतरस्मिंस्तथा चोरुं वीरासनमितीरितम् ॥२१॥","Svastikāsana
ekaṃ pādam athaikasmin vinyased uruṇi sthiram |
itarasmiṃs tathā coruṃ vīrāsanam itīritam || 1.21 ||","[1.21] Ligeså placerer man den ene fod på det ene lår og låret på den
anden fod. Denne stilling kaldes Vīrāsana.[^14]","[1.21] Having kept both the hands under both the thighs, with the body straight, when one sits calmly in this posture, it is called Swastika.","[^14]: Vīra-āsana, 'Heltestillingen'.",NA,NA
"1","22","गुदं निरुध्य गुल्फाभ्यां व्युत्क्रमेण समाहितः ।
कूर्मासनं भवेदेतदिति योगविदो विदुः ॥२२॥","gudaṃ nirudhya gulphābhyāṃ vyutkrameṇa samāhitaḥ |
kūrmāsanaṃ bhaved etad iti yogavido viduḥ || 1.22 ||","[1.22] Man blokerer anus med krydsede ankler og sidder rank. Dette vil
være det, de yoga-kyndige kalder Kūrmāsana.[^15]","[1.22] Placing the right ankle on the left side and the left ankle on the right side, makes Gomukha-āsana, having the appearance of a cow.","[^15]: Kūrma-āsana, 'Skilpaddestillingen'.",NA,NA
"1","23","पद्मासनं तु संस्थाप्य जानूर्वोरन्तरे करौ ।
निवेश्य भूमौ संस्थाप्य व्योमस्थं कुक्कुटासनम् ॥२३॥","padmāsanaṃ tu saṃsthāpya jānūrvor antare karau |
niveśya bhūmau saṃsthāpya vyomasthaṃ kukkuṭāsanam || 1.23 ||","[1.23] Siddende i Padmāsana[^16] føres begge hænder ind mellem knæ og
lår og placeres på jorden. Kukkuṭāsana[^17] er den svævende stilling.","[1.23] One foot is to be placed on the thigh of the opposite side; and so also the other foot on the opposite thigh. This is called Vīrāsana.","[^16]: Padma-āsana, 'Lotusstillingen'. Jf. vers 1.44-47 samt 2.59.
[^17]: Kukkuṭa-āsana, 'Hanestillingen'.",NA,NA
"1","24","कुक्कुटासनबन्धस्थो दोर्भ्यां सम्बध्य​ कन्धराम् ।
शेते कूर्मवदुत्तान एतदुत्तानकूर्मकम् ॥२४॥","kukkuṭāsanabandhastho dorbhyāṃ sambadhya kandharām |
śete kūrmavad uttāna etad uttānakūrmakam || 1.24 ||","[1.24] Fastlåst i Kukkuṭāsana forbinder man nakken med armene og
ligger som en skildpadde på ryggen. Dette er Uttānakūrmakāsana.[^18]","[1.24] Placing the right ankle on the left side of anus, and the left ankle on the right side of it, makes what the Yogīs call Kūrma-āsana.","[^18]: Uttānakūrmaka-āsana, 'Den omvendte skildpaddestilling'.",NA,NA
"1","25","पादाङ्गुष्ठौ तु पाणिभ्यां गृहीत्वा श्रवणावधि ।
धनुराकर्षणं कुर्याद्ध​नुरासनमुच्यते ॥२५॥","pādāṅguṣṭhau tu pāṇibhyāṃ gr̥hītvā śravaṇāvadhi |
dhanur ākarṣaṇaṃ kuryād dhanurāsanam ucyate || 1.25 ||","[1.25] Man fører begge fødders storetæer med hænderne op til ørerne og
spænder som en bue. Denne stilling kaldes Dhanurāsana.[^19]","[1.25] Taking the posture of Padma-āsana and carrying the hands under the thighs, when the Yogī raises himself above the ground, with his palms resting on the ground, it becomes Kukkuṭa-āsana.","[^19]: Dhanur-āsana, 'Buestillingen'.",NA,NA
"1","26","वामोरुमूलार्पितदक्षपादं
जानोर्बहिर्वेष्टितवामपादम् ।
प्रगृह्य तिष्ठेत्परिवर्तिताङ्गः
श्रीमत्य्सनाथोदितमासनं स्यात् ॥२६॥","vāmorumūlārpitadakṣapādaṃ
jānor bahir veṣṭitavāmapādam |
pragr̥hya tiṣṭhet parivartitāṅgaḥ
śrīmatysanāthoditam āsanaṃ syāt || 1.26 ||","[1.26] Man tager fat i højre fod, der er placeret ved roden af venstre
lår, og fat i venstre fod, der er placeret på ydersiden af knæet og
sidder med kroppen drejet. Denne āsana er anvist af den glorværdige
Matsyendranātha.[^20]","[1.26] Having assumed Kukkuṭa-āsana, when one grasps his neck by crossing his hands behind his head, and lies in this posture with his back touching the ground, it becomes Uttāna Kūrma-āsana, from its appearance like that of a tortoise.","[^20]: Matsyendra siges at være yogien som igangsatte demokratiseringen af haṭhayoga og gjorde praksis tilgængelig for lægfolk. Populariseringen af haṭhayoga fortsatte i Nāth Siddha-traditionen, og da dennes grundlægger Gorakh (Gorakṣa), der ligeledes kaldes Gorakhnātha (Gorakṣanātha), udpeger Matsyendra som sin egen guru, så kaldes Matsyendra også for Matsyendranātha i senere Nāth Siddha-inspirerede haṭhayogaskrifter.",NA,NA
"1","27","मत्स्येन्द्रपीठं जठरप्रदीप्तिं
प्रचण्डरुग्मण्डलखण्डनास्त्रम् ।
अभ्यासतः कुण्डलिनीप्रबोधं
चन्द्रस्थिरत्वं च ददाति पुंसाम् ॥२७॥","matsyendrapīṭhaṃ jaṭharapradīptiṃ
pracaṇḍarug maṇḍalakhaṇḍanāstram |
abhyāsataḥ kuṇḍalinīprabodhaṃ
candrasthiratvaṃ ca dadāti puṃsām || 1.27 ||","[1.27] Matsyendras stilling er glimrende for maven[^21] og et
ødelæggende våben mod en mængde voldsomme sygdomme; ved gentagen praksis
vækker den Kuṇḍalinī[^22] og giver stabilitet i månen[^23] for mænd.","[1.27] Having caught the toes of the feet with both the hands and carried them to the ears by drawing the body like a bow, it becomes Dhanura āsana.","[^21]: Jf. også vers 1.29.
[^22]: Kuṇḍalinī, 'Den sammenrulle [slangekraft]'.
[^23]: Mange yogiske teknikker, der senere blev kendt som mudrāer, havde i tidlig haṭhayoga som deres primære formål at bevare og holde sæden i hovedet (bindudhāraṇa). Den mandlige sæd (bindu, amr̥ta) blev identificeret med det livgivende princip i den tidlige indiske middelalder, ligesom man antog at tabet af denne nødvendigvis medførte svaghed, sygdom og død. For at undgå disse følgevirkninger af tabet af sæd, skulle sæden derfor fastholdes i hovedet ved hjælp af yogiske teknikker. Ifølge en udbredt esoterisk anatomi, der første gang blev fremsat i den buddhistiske tekst Amr̥tasiddhi (ca. 11. årh. e.v.t.), regner sæden (amr̥ta) ned fra månen i hovedet og brænder op i solen, der er placeret for enden af rygraden. Denne anatomi blev standard i megen yoga og vandt udbredelse i både hinduismen, buddhismen og jainismen.",NA,NA
"1","28","प्रसार्य पादौ भुवि दण्डरूपौ
दोर्भ्यां पदाग्रद्वितयं गृहीत्वा ।
जानूपरिन्यस्तलाटदेशो
वसेदिदं पश्चिमतानमाहुः ॥२८॥","prasārya pādau bhuvi daṇḍarūpau
dorbhyāṃ padāgradvitayaṃ gr̥hītvā |
jānūparinyastalalāṭadeśo
vased idaṃ paścimatānam āhuḥ || 1.28 ||","[1.28] Begge fødder strækkes frem på jorden som to stave, hvorpå man
tager fat i spidsen af begge fødder og hviler med panden på knæene.
Denne āsana kaldes Paścimatāna.[^24]","[1.28-29] Having placed the right foot at the root of the left thigh, let the toe be grasped with the right hand passing over the back, and having placed the left foot on the right thigh at its root, let it be grasped with the left hand passing behind the back. This is the āsana, as explained by Śri Matsyanātha. It increases appetite and is an instrument for destroying the group of the most deadly diseases. Its practice awakens the Kundalinī, stops the nectar shedding from the moon in people.","[^24]: Paścimatāna-āsana, 'Den bagvedliggende tones stilling'. Stillingen kendes også som Paścimottāna, 'Den rygstrækkende stilling' (paścima, 'bagved, vest', uttāna, 'udstrækning').",NA,NA
"1","29","इति पश्चिमतानमासनाग्र्यं
पवनं पश्चिमवाहिनं करोति ।
उदयं जठरानलस्य कुर्याद्
उदरे कार्श्यमरोगतां च पुंसाम् ॥२९॥","iti paścimatānam āsanāgryaṃ
pavanaṃ paścimavāhinaṃ karoti |
udayaṃ jaṭharānalasya kuryād
udare kārśyam arogatāṃ ca puṃsām || 1.29 ||","[1.29] Paścimatāna er den ypperste āsana, som får åndedrættet til at
strømme bagud; den vil få mavens forbrænding til at blusse op, gøre
maven slankere og holde mænd fri for sygdom.",NA,NA,NA,NA
"1","30","धरामवष्टभ्य करद्वयेन
तत्कूर्परस्थापितनाभिपार्श्वः ।
उच्चासनो दण्डवदुत्थितः खे
मायूरमेतत्प्रदन्ति पीठम् ॥३०॥","dharām avaṣṭabhya karadvayena
tatkūrparasthāpitanābhipārśvaḥ |
uccāsano daṇḍavad utthitaḥ khe
māyūram etat pravadanti pīṭham || 1.30 ||","[1.30] Støt med begge hænder på jorden med albuerne placeret i siderne
ud for navlen. Denne ophøjede āsana er hævet i luften som en stav. De
kalder den Māyūrāsana.[^25]","[1.30] Having stretched the feet on the ground, like a stick, and having grasped the toes of both the feet with both the hands, when one sits with his forehead resting on the thighs, it is called Paśchima Tāna.","[^25]: Māyūra-āsana, 'Påfuglestillingen'.",NA,NA
"1","31","हरति सकलरोगानाशु गुल्मोदरादीन्
अभिभवति च दोषानासनं श्रीमयूरम् ।
बहु कदशनभुक्तं भस्म कुर्यादशेषं
जनयति जठराग्निं जारयेत्कालकूटम् ॥३१॥","harati sakalarogān āśu gulmodarādīn
abhibhavati ca doṣān āsanaṃ śrīmayūram |
bahu kadaśanabhuktaṃ bhasma kuryād aśeṣaṃ
janayati jaṭharāgniṃ jārayet kālakūṭam || 1.31 ||","[1.31] Den glorværdige Māyūrāsana udrydder hurtigt alle sygdomme og
overvinder svigtende milt, dårlig mave og så videre. Den antænder mavens
ild og forvandler den dårlige mad, man har spist, til aske og gør
kālakūṭa-giften[^26] spiselig.","[1.31] This Paśchima Tāna carries the air from the front to the back part of the body (i.e., to the suṣumna). It kindles gastric fire, reduces obesity and cures all diseases of men.","[^26]: Kālakūṭa er en mytologisk gift, der opstod, da guderne kværnede urhavet (beskrevet i det store helteepos Mahābhārata og i Bhāgavatapurāṇa).",NA,NA
"1","32","उत्तानं शववद्भूमौ शयनं तच्छवासनम् ।
शवासनं श्रान्तिहरं चित्तविश्रान्तिकारकम् ॥३२॥","uttānaṃ śavavad bhūmau śayanaṃ tac chavāsanam |
śavāsanaṃ śrāntiharaṃ cittaviśrāntikārakam || 1.32 ||","[1.32] Liggende udstrakt på jorden som et lig - dette er
Śavāsana.[^27] Śavāsana fordriver sløvhed og skærper sindet.","[1.32] Place the palms of both the hands on the ground, and place the navel on both the elbows and balancing thus, the body should be stretched backward like a stick. This is called Mayūra-āsana.","[^27]: Śava-āsana, 'Ligstillingen'.",NA,NA
"1","33","चतुरशीत्यासनानि शिवेन कथितानि च ।
तेभ्यश्चतुष्कमादाय सारभूतं ब्रवीम्यहम् ॥३३॥","caturaśīty āsanāni śivena kathitāni ca |
tebhyaś catuṣkam ādāya sārabhūtaṃ bravīmy aham || 1.33 ||","[1.33] Śiva fremlagde 84 āsanaer, hvoraf jeg nu vil beskrive de fire
mest essentielle:","[1.33] This āsana soon destroys all diseases, and removes abdominal disorders, and also those arising from irregularities of phlegm, bile and wind, digests unwholesome food taken in excess, increases appetite and destroys the most deadly poison.",NA,NA,NA
