"photo","chapter","verse","transliteration_with_image_change","transliteration","notes_parallels","notes_collation","translation_english","notes_sanskrit","notes_translation"
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","17",NA,"deva netrāntare hy agnis tvad ṛte kasya dṛśyate / kiṃ vā vahnimayaṃ cakṣus tat kathaṃ na vibhāvyate // 17 //",NA,"17a hy agnis ] N1N2 :vahnis ] K1","1.17. For, O God, who can see [this] re within the eye except you? Or why is the eye made of re? How does it not come about?",NA,NA
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","18",NA,"yena vai cakṣuṣā kṛtsnaṃ prasaras tvaṃ jagatpate / sarvāmṛtamayenaiva jagadāpyāyakṛtkṣaṇāt // 18 //",NA,"18b prasaras tvaṃ ] N1N2 : prasaraṃs ca K1 : presarat tvam conj. 18d āpyāyakṛtṣaṇāt ] N1N2 : āpyāyase kṣānāt K1","1.18. By the eye which is completely full of nectar, you instantly cause the whole world to prosper [which is] expanding, O Lord of the Universe.",NA,NA
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","19",NA,"mamānandayase deva prasannenaiva cakṣuṣā / amṛtākārasaṃśubhraṃ jagadāpyāyakārakam // 19 //",NA,"19c amṛtākārasaṃśubhraṃ ] N1 N2 : amṛtākāravac chubhraṃ K1","1.19. You cause bliss to me, O God, with [your] delighted eye. Like the appearance of nectar, [the eye] is radiant and a cause of prosperity in the world.","19c Alternatively, amṛtākāra could be vocative singular, hence 'you delight me, you whose form is nectar.'",NA
"ochs_000_000_002_amrtesatantram_000_002.jpg","1","20",NA,"tasmāt kālānalaprasthaṃ kuto vahniḥ prajāyate / etat sarvaṃ samāsena bhagavan vaktum arhasi // 20 //",NA,"20a kālānalaprasthaṃ ] N1 N2 : kālānalaprasthaḥ K1","1.20. Therefore how is this re, which extends as the re of time, produced? Can you fully explain all this, O Lord? The Lord spoke:",NA,NA
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","21-22",NA,"bhagavān uvāca: atikautūhalāviṣṭā pṛcchasy etac chṛṇu priye/ yan me netrāntare hy agni yad vāmṛtam anuttamaṃ // 21 // tat sarvaṃ saṃpravakṣyāmi yogayuktyā śṛṇu priye / yat svarūpaṃ nijaṃ śuddhaṃ vyāpakaṃ sarvatomukhaṃ // 22 //",NA,"21c hy agni ] N1 : kṣāṇāt K1 19a mamānandayase ] N1 N2 : mām ānandayase K1 vahnir N2 K1 22a saṃpravakṣyāmi ] N1 N2 : kathayiṣyāmi K1","1.21-22. Possessed of great curiosity, you ask about this, [so] listen, O Dear One. I will tell you about all that which is the re in the eye and which is supreme nectar, O dear one, listen attentively3 about that which is the innate essence, pure, pervading, facing in all directions.","21a The Kāśmīrī śāradā MS K1 (ORL 845) begins at this verse. 22c Yat here probably goes with tat in 24.c but while this may be semantically coherent, I have tried to render the semantic unit in a more restricted or contained way in the translation.","3 This could also have a more esoteric meaning, 'I'll tell you about this with the device of yoga (yogayuktyā).' Kṣemarāja's commentary glosses the term as having entered into supreme non-duality."
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","23",NA,"sarvabhūtāntarāvasthaṃ sarvaprāṇiṣu jīvanaṃ / yogagamyaṃ durārādhyaṃ duṣprāpam akṛtātmabhiḥ // 23 //",NA,"23c durārādhya ] N1 N2 : durāsādaṃ K1","1.23. [It is] located within all beings, the life in all breathing things, attained with practice, [but] diﬃcult to reach [and] hard to attain by unrestrained souls.","23d There are eighty eight attestations for akṛtātmabhiḥ in the Mahābhārata, three in the Rāmāyana 2.26.10; 3.4.24; 4.18.16, in the Svacchana-tantra 6.9, 10.445 and the Padmasaṃhitā 33.208c. In his commentary on the Svacchanda-tantra 10.445ab Kṣemarāja glosses akṛtātma as asaṃyamavat, one who is not restrained.",NA
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","24",NA,"svasaṃvedyaṃ svavīryaṃ ca mamaiva paramaṃ padam/ tad vīryaṃ sarvavīryāṇāṃ tad vai balavatāṃ balaṃ // 24 //",NA,"24a svasaṃvedyaṃ svavīryaṃ ca ] N1 N2 : svaṃ svavīryaṃ svasaṃvedyaṃ K1","1.24. [It is] truly my supreme abode, my own virile power and my own object of knowledge. That virile power of all virile powers is the strength of the strong.",NA,NA
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","25",NA,"tad ojas tejasāṃ sarvaṃ śāśvatam hy acalaṃ dhruvam / sā mamecchā parā śaktir hyvayuktā svabhāvajā// 25 //",NA,"25a tad ojas tejasāṃ ] N1 N2 : tad ojaś caujasāṃ; K1 25d hy aviyuktā ] N1 : jīvayuktā N2 ; śaktiyuktā K1","1.25. It is the splendour of splendours, the all, eternal, unmoving [and] rm. [That energy] is the Supreme Power, my [power of] will,controlled, born from [my] own nature.","25a The trouble is tad is neuter but ojastejasāṃ is feminine, but the reading tad is attested in both Nepalese manuscripts and the KSTS edition.",NA
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","26",NA,"vahnir ūṣmeva vijñeyā ravirūpā raver iva / sarvasya jagato vāpi sā śaktiḥ kāranātmikā // 26 //",NA,"26b ravirūpa ] N1 N2 : raśmirūpā K1","1.26. As heat from re and rays from sun are known [to be inseparable], even so my own Power, the cause of the entire universe [is inseparable from me].",NA,NA
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","27",NA,"sarvajñādiguṇās tatra vyaktāvyāktāś ca saṃsthitā / saivecchā jñānarūpā ca jñānādiguṇavismṛtāḥ // 27 //",NA,"27b saṃsthitā ] N1 K1 : saṃsthitāḥ N2 27d jñānādiguṇavismṛtā ] N1 N2 : kriyādiguṇavistṛtā K1","1.27. In her are the qualities of omniscience and so on, the manifest and unmanifest are es- tablished [in her]. She has will and knowledge, possessed of the qualities of action and so on.",NA,NA
"ochs_000_000_002_amrtesatantram_000_003.jpg","1","28",NA,"jñānādiṣaḍguṇā ye ca tatrasthāḥ prabhavanti ca / sā vai kriyāmahārūpā saṃsthitaikā kriyā matā // 28 //","28b ≈ Īśvarasaṃhitā 9.44 jñānādiṣaḍgaṇopetair <jñānādiṣaḍguṇopetair> ākīrṇāḥ koṭiśaḥ paraiḥ; Lakṣmītantra 2.36 jñānādyāḥ ṣaḍguṇā ete ṣāḍguṇyaṃ mama tadvapuḥ; Pārameśvarasaṃhitā 11.49ab jñānādiṣaḍguṇopetair ākīrṇāḥ koṭiśaḥ paraiḥ.","28a ca ] N1 N2 : hi K1 28c kriyāmahārūpā ] N1 N2 : mahākriyārūpā K1","1.28. The six qualities beginning with knowledge4 are located in her, for she is established as the great form of action, the one action, the mother.",NA,"4 These are the widely attested six qualities of Śiva, namely knowledge (jñānaḥ), force (balam), power (aiś- varyam), virile power (vīryam), potency (śaktiḥ), and brilliance (tejaḥ). They are mostly associated with Viṣṇu."
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","29",NA,"aṇimādiguṇān aṣṭau karoti vikaroti sā / evaṃ mamecchā jñānākhyā krīyākhyā śaktir ucyate // 29 //",NA,"29b ravirūpa ] N1 N2 : raśmirūpā K1","1.29. She creates [and] destroys the eight supernatural abilities beginning with [the power] to make oneself small, in this way my power called will, knowledge and action is expressed.",NA,NA
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","30",NA,"sūryācandramasau vahnis tridhāmaparikalpanā / trinetrakalpanā mahyaṃ tadartham iha dṛśyate // 30 //",NA,NA,"1.30. Imagining the three eyes is imagining of the three luminosities [that comprise] re, sun and moon, perceived here for me as having the same purpose.",NA,NA
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","31",NA,"dahanāpyāyanan tena prākāśyavidadhāmy aham / sṛṣtim sthitiṃ saṃhṛtiṃ ca [tri]tanur vidadhāmy ahaṃ // 31 //",NA,"31a dahanāpyāyanan tena ] N1 N2 : da- hanāpyāyane tena K1 31b prakāśya- ] N1 N2 : prakāśayaṃ K1 31c sṛṣtim sthitiṃ ] N1 N2 : sṛṣtisthitiṃ K1 31d -tanur ] N1 N2 : tritanur K1","1.31. By means of that I bestow the burning [of time and desire], prosperity [of the world],5 [and] illumination, I who have a [threefold] body6 bestow creation, maintenance, and de- struction.",NA,"5 This phrase jagadāpyāyana- also found at verses 1.18 and 19, 3.22 6 Kṣemarāja glosses this a Brahmā, Viṣṇu and Rudra"
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","32",NA,"tadvīryāpūritaṃ sarvaṃ manteja upabṛṃhitam / icchājñānakriyārūpaṃ netrāmṛtam anuttamam // 32 //",NA,"32b manteja upabṛṃhitam ] N1 N2 : mama tejopabṛṃhitam K1","1.32. All that [universe] is lled up with power, enlarged by my lustre, whose nature is will, knowledge and action, which is the supreme nectar of my eye.",NA,NA
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","33",NA,"tad vīryaṃ paramaṃ dhāma yat parāmṛtarūpakam / sa eṣaparamānaṃdo dehe tatparamaṃpadaṃ // 33 //",NA,"33b yat
parāmṛtarūpakam ] N1N2 : yat parāmṛtarūpi ca K1 33c sa eṣaparamānaṃdo ] N1N2 : yat tat tat paramānandaṃ K1 33d dehetatparamaṃpadaṃ sa eṣaparamānaṃdo ] N1 N2 : yad etat paramaṃ padam K1","1.33. That power is the supreme place, which is the nature of supreme nectar. This is that great joy and that is the supreme foundation in the body.",NA,NA
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","34",NA,"tad etan niṣkalaṃ jñānaṃ viśuddhaṃ netram uttamam / mṛtyuñjit tena cākhyātaṃ sarveṣām mokṣadāyakam // 34 //",NA,NA,"1.34. This is that which is knowledge without aspect, pure, the supreme eye. Because of that, it is named the Conqueror of Death; it bestows liberation for all.",NA,NA
"ochs_000_000_002_amrtesatantram_000_004.jpg","1","35",NA,"tat siddhidaṃ paraṃ devi sarvaduḥkhavimokṣadam / sarvavyādhiharaṃ devaṃ sarvāharamayaṃ śivam // 35 //",NA,"35a devi ] N1 N2 : devaṃ K1 35d sarvāharamayaṃ ] N1 N2 : sarvāmayaharaṃ K1","1.35. That [eye] bestows supreme success, O Goddess, it bestows freedom from all suﬀering, destroys all sickness [and] destroys all disease, [one should praise] the auspicious god.","35c The accusatives devam and śivam do not appear to be the object of any verb either here or in the immedi- ately succeeding verses. 35d This would appear to be a simple error, thus, although the Nepalese rendering is recorded here, rather than sarvāharamayaṃ I have translated sarvāmayaharaṃ.",NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","36",NA,"dāridriyadamanaṃ nityaṃ mṛtyujit sarvatomukham / amogham amalaṃ śāntaṃ sarvagaṃ sarvasamsthitam // 36 //",NA,"36a dāridriyadamanaṃ ] N1 N2 : dāridriyaśamanaṃ K1 36d sarvagaṃ sarvasamsthitaṃ ] N1 N2 : sarvadaṃ sarvamocanam K1","1.36. It subdues poverty, is eternal, the conqueror of death, facing everywhere, never fruit- less, pure, tranquil, all-pervading, [and] established in everything.",NA,NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","37",NA,"sūryakoṭisahasrāṇāṃ vahnyayutasahsraśaḥ / yat tejasāsamas tasya kalān ārghanti ṣoḍaśī[m] // 37 //","37c ≈ Bhagavadgītā Madhusūdana commentary 5.21: yac ca kāma-sukhaṃ loke yac ca divyaṃ mahat sukham | tṛṣṇākṣaya-sukhasyaite nārhataḥ ṣoḍaśīṃ kalām /iti/; Mahābhārata parvan 3.171.003c: saṃgrāmasthasya te putra kalāṃ nārhanti ṣoḍaśīm; Lakṣmī-tantra 50.84: parāṃ madīyavarṇasya kalāṃ nārhati ṣoḍaśīm; Kubjikāmatatantra 24.166: dā- nadharmasyadeveśikalāṃnārghantiṣoḍaśīm;Kulārṇavatantra15.41:prāṇāyāmasyatasyaitekalāṃnārhantiṣoḍaśīm. 37d ≈ Mahābhārata 3.171.3c etc.; Kubjikāmatatantra 24.166 etc.","37c samas ] N1N2 : samaṃ K1","1.37. Countless thousands of ames of countless millions of suns are not equal to a sixteenth part of that splendour.",NA,NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","38",NA,"sarvatejomayaṃ tasmād apradhṛṣyaṃ surāsuraiḥ / tena netrāgninā sarvaṃ nirdahāni kṣaṇād dhruvam // 38 //",NA,"38a tasmād ] N1N2 : yasmād K1 38b apradhṛṣyaṃ ] N1N2 : tv apradhṛṣyaṃ K1 38d nirdahāni ] N1 N2 : nirdahāmi K1","1.38. [The eye] is full of lustre therefore it cannot be controlled by gods and demons, I [can] de nitely burn everything in an instant with the re of that eye.",NA,NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","39",NA,"tenaivāpyāyanaṃ bhūyaḥ prākāśya[ṃ] vidadhāmy aham / tasmāt parataraṃ nānyat kiṃcid vīryaṃ pradṛśyate // 39 //",NA,"39b prākāśya ] N1 : prākāśyaṃ N2 K1 ; vidad- hāmyāham ] N1 N2 : vidadhāmi ca K1","1.39. I bestow great satisfaction and illumination by it, therefore beyond it no other energy can be seen [to supersede it].",NA,NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","40",NA,"tad evāstramayaṃ raudraṃ aṇoḥ santāraṇaṃ param / kṣayakṛt sarvaśatrūṇāṃ astraṃs tv etad udāhṛtam // 40 //",NA,"40b aṇoḥ santāraṇaṃ ] N1 N2 : aṇusantāraṇaṃ K1 40c kṣayakṛt sarvaśatrūṇāṃ ] N2 : kṣayakṛt -saśatrūṇāṃ N1 ; kṣayadaṃ sarvaśatrūṇāṃ K1 40d astraṃs tv etad udāhṛ-
tam ] N1N2 :astraṃhyetatprakīrtitaṃ K1","1.40. That very [eye] is the weapon, ferocious, being the supreme refuge of the soul. This weapon destroys all enemies, it is declared to be the weapon.","40c The sandhi here seems wrong, as astram is neuter it must be śatrūnām astraṃ but I have preserved the Nepalese reading.",NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","41",NA,"sarveṣām eva bhūtānām āyur dhatte tad āyudham / tad ekaṃ bahudhā vīryaṃ bhedānantavisarpitam // 41 //",NA,"41d bhedānantavisarpitam ] N1N2 : bhedānantyavisarpitam K1","1.41. That weapon gives long life to all beings, that one abundant energy is extended by an in nity of divisions.",NA,NA
"ochs_000_000_002_amrtesatantram_000_005.jpg","1","42",NA,"mahāpāśupataṃ mahyaṃ viṣṇos tac ca sudarśanam / brahmaṇo brahmadaṇḍas tu sarveṣāṃ svaṃ svam āyudha // 42 //","42a ≈ Svacchandatantra 1.5b bhedānantyavisarpitam.","42b sudarśanaṃ ] N1 N2 : sudarśanaḥ K1 42d svasvam āyudha ] N1N2 : svaṃ svam āyudham K1","1.42. For me [the weapon is] the Great Pāśupata [mantra], while for Viṣṇu it is Sudarśana, for Brahmā it is the staﬀ of Brahmā; everyone has their own weapon.",NA,NA
"ochs_000_000_002_amrtesatantram_000_006.jpg","1","43",NA,"anekākārarūpeṇa āyudhaṃ tad anekadhā / surāṇāṃ svasvarūpeṇa mayā vīryaṃ samarpitam // 43 //",NA,"43c svasvarūpeṇa ] N1 N2 : svaṃ svarūpeṇa K1","1.43. That weapon [is manifested] through numerous forms and in various ways, its energy expressed by me, the essence of the gods.",NA,NA
"ochs_000_000_002_amrtesatantram_000_006.jpg","1","44",NA,"jñānaśaktyā tu yogeśyā tena vyāptam idaṃ jagat / bhītānāṃ sā parā rakṣā trastānām abhayaṃ param // 44 //",NA,"44a jñānaśaktyā tu yogeśya ] N1N2 : yogaśaktyā tu yogeśe K1","1.44. This universe is pervaded by the Goddess of Yoga, the energy of knowledge. She is the supreme protector from fears and frights, the ultimate safety.",NA,NA
"ochs_000_000_002_amrtesatantram_000_006.jpg","1","45",NA,"śatrūbhiś cārditānāṃ tu moksadaṃ paramaṃ dhruvam / kiṃ vā vistaraṇoktena paunapunyena sundari // 45 //",NA,"45c kiṃ vā vistaraṇoktena ] N1 N2 : kiṃ vātivistaroktena K1","1.45. [She is] de nitely the supreme bestower of liberation for those aﬄicted by enemies. What is the point of frequent repetition spoken exhaustively, O beautiful one?",NA,NA
"ochs_000_000_002_amrtesatantram_000_006.jpg","1","46",NA,"yad yat tīvrataraṃ raudraṃ śrīmad ūrjitam eva vā / prasādaṃ varadaṃś śreyaḥ prakāśyan tat tad eva hi // 46 //",NA,"46c varadaṃś śreyaḥ ] N1 N2 : varadaṃ śreyaḥ K1","1.46. Whatever is the sharpest, ferocious, glorious power, that alone is the very best, boon- giving favour, the illumination.",NA,NA
"ochs_000_000_002_amrtesatantram_000_006.jpg","1","47",NA,"tad jñeyam aprameyaṃ ca jñānaṃ mantraṃ mahābalam / trātāraṃ sarvabhūtānāṃ guptagopyaṃ sadā mayā // 47 //",NA,"47d gupta- ] N1 : guptaṃ N2 K1 ; mayā ] N1 N2 : tvayā K1","1.47. That [eye] is the object of knowledge and immeasurable knowledge, the mantra, the great power, the salvation of all beings, the secret, always to be hidden by me.",NA,NA
"ochs_000_000_002_amrtesatantram_000_006.jpg","1","48",NA,"tavādya kathitaṃ devi kiṃ bhūyaḥ paripṛcchasi //48// iti sarvasrotasaṃgrahasāre mṛtyujidamṛtīśavidhane tantrādhitārādhikāro nāma prathamaḥ paṭalaḥ /",NA,"48b kiṃ bhūyaḥ paripṛcchasi ] N2 K1 : bhūyaḥ paripṛcchasi N1","1.48. Today [I have] told this to you, O Goddess, what more will you ask? Here ends the rst chapter concerning the authority of the decent of the Tantra, accord- ing to the rule of the immortal Conqueror of Death, which is the essence of the collection of all the streams of revelation.",NA,NA
"ochs_000_000_002_amrtesatantram_000_007.jpg","2","1",NA,"dvitiyo ’dhikāraḥ śrīdevy uvāca yady evaṃ paramaṃ śāntaṃ aprameyaṃ guṇālayam / sarvānugrahakaṃ vīryaṃ tava deva mukhāc chrutam // 1 //",NA,NA,"The Goddess spoke: 2.1. If [this be] so,1 your supreme virtue is tranquil, immeasurable, endowed with [all good] qualities and gives favour to all. This has been heard from your mouth, O God.",NA,NA
"ochs_000_000_002_amrtesatantram_000_007.jpg","2","2",NA,"bhagavan devadeveśa lokānugrahakāraka / triyonijam idaṃ sarvaṃ devamānuṣatiryagam // 2 //",NA,NA,"2.2. O Lord, Lord of the God of Gods, O cause of benevolence for the world, all this derives from three sources, [namely] gods, men, and perfected ones.",NA,NA
"ochs_000_000_002_amrtesatantram_000_007.jpg","2","3-4",NA,"ādhivyādhibhayodvignaṃ viṣabhūtabhayārditam / apamṛtyuśatākīrṇaṃ jvarakāsakṣayānvitam // 3 // bhūtajaṃ mānuṣe loke viprādiprāṇinas tathā / dukhadoṣaśatākīrṇaṃ kutas teṣāṃ sukhaṃ vibho // 4 //",NA,NA,"2. 3-4. Terri ed by fear of disease and mental agony, aﬄicted by fear of the poison-ghosts, surrounded by hundreds of dangers, aﬄicted by fever, coughing and consumption, [these] living beings beginning with Brahmins, in the sky, atmosphere and in the human world, full of hundreds of transgressions and suﬀering, from where does their happiness arise, O Lord?",NA,NA
"ochs_000_000_002_amrtesatantram_000_007.jpg","2","5",NA,"yugānurūpabhāvena teṣām āyuṃ svamānataḥ / jighāṃsanti balopetās tvattejabalabṛṃhitāḥ // 5 //",NA,NA,"2.5. Those endowed with strength, who are strong [because] they have been swollen by your energy and strength desire to destroy their life because of their own arrogance correspond- ing to [this degenerate] age.",NA,NA
"ochs_000_000_002_amrtesatantram_000_007.jpg","2","6-7",NA,"anekaśatabhedais tu vyādhādivinipīditāḥ / teṣām anugṛhārthāya kṛpayā prāṇināṃ hitam // 6 // upāyas tu jagannātha mucyante yena sarvataḥ / yena yena prakāreṇa jñānayogena mantrataḥ // 7 //",NA,NA,"2.6-7. For the sake of favouring them out of compassion for the welfare of living beings, op- pressed by many hundred diﬀerent diseases, [tell us] the method, O Lord of the Universe, by which all are freed, whatever the method [be it] knowledge, yoga or mantra.2",NA,NA
"ochs_000_000_002_amrtesatantram_000_007.jpg","2","8",NA,"yat yat paśyati deveśa tam upāyaṃ vada svame / evaṃ devyā vacaḥ śrutvā prahasyovāca śaṅkaraḥ // 8 //",NA,NA,"2.8. Whatever you see,3 O Lord of Gods, tell me that method, O Soul. So, having heard the Goddess, Śiva, laughing, said:",NA,NA
"ochs_000_000_002_amrtesatantram_000_008.jpg","2","9",NA,"īśvara uvāca atikāruṇyayāviṣtā devi tvaṃ pṛcchase mama / na kena cid ahaṃ pṛṣṭo nākhyātaṃ kasya cin mayā // 9 //",NA,NA,"2.9. The Lord spoke: You are lled with great curiosity, O Goddess, [what] you ask me, nobody has asked me [before and] I have not made this known to anybody.",NA,NA
